case,view_id,time_index,reference_DGP,reference_Ev_lx,EIGCM_DGP,EIGCM_Ev_lx,Jones_dcglare_DGP,Jones_dcglare_Ev_lx,Raytraverse_Balanced_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_High_DGP,Raytraverse_High_Ev_lx
C1,1,1902,0.184307,431.12,0.1848083,439.66354,0.21895098,482.0007019,0.18463455,419.66868136,0.1833049,397.01703051
C1,1,1903,0.206429,807.995,0.2057301,796.0835,0.20752254,809.58312988,0.20537138,772.93663453,0.20501288,766.82932575
C1,1,1904,1.0,13659.948,1.0,13845.912,0.9459033,12535.94140625,1.0,21803.64792083,1.0,21644.17174038
C1,1,1905,1.0,14171.868,1.0,14430.334,1.0,14078.11328125,1.0,23815.71547034,1.0,23612.68349336
C1,1,1906,0.362289,3261.751,0.3501118,3199.6768,0.3658974,3256.46240234,0.3583177,3144.27169577,0.35590116,3111.72556146
C1,1,1907,0.380625,3583.39,0.3677839,3503.5789,0.3833651,3570.65161133,0.37604986,3457.04589001,0.37370454,3426.57018417
C1,1,1908,0.379817,3579.509,0.3667007,3487.2097,0.3818292,3559.13671875,0.37377011,3430.35178242,0.37284175,3421.95713394
C1,1,1909,0.360307,3258.056,0.348322,3175.9282,0.3618022,3245.30664062,0.35730172,3161.08351179,0.35416687,3116.17727636
C1,1,1910,0.326759,2708.245,0.3155841,2646.4104,0.329437,2704.53198242,0.32369444,2611.72380618,0.32150426,2579.69219097
C1,1,1911,0.28231,2004.273,0.2752917,1972.6069,0.2853037,2016.15734863,0.28072544,1937.98037081,0.27941346,1913.79132119
C1,1,1912,0.234425,1263.797,0.2318633,1241.2823,0.2358164,1269.10986328,0.232062,1210.79462198,0.23152057,1196.75528182
C1,1,1913,0.247095,1392.303,0.2404563,1387.6703,0.2509077,1420.19873047,0.24350026,1314.02146075,0.24335843,1282.90823462
C1,1,4109,0.159733,12.48,0.1597153,12.186168,0.16072907,12.42028236,0.16070391,11.99159162,0.16069557,11.84959201
C1,1,4110,0.166645,130.235,0.1664784,127.40089,0.16762362,129.87399292,0.16742511,126.49242213,0.16726103,123.69732531
C1,1,4111,0.174858,270.151,0.1745385,264.71002,0.17584109,269.86471558,0.17528626,260.41332451,0.17510003,257.24077961
C1,1,4112,0.183875,423.758,0.1833333,414.53589,0.18480629,422.59466553,0.18399631,408.79568474,0.18361101,402.23177776
C1,1,4113,0.192165,565.0,0.1914712,553.17224,0.19310088,563.89868164,0.19218539,548.30311439,0.19156115,537.66872382
C1,1,4114,0.198976,681.015,0.1981113,666.29138,0.19986961,679.20996094,0.19881324,661.21359538,0.19807528,648.64187386
C1,1,4115,0.203396,756.312,0.2024953,740.97632,0.20434125,755.38793945,0.20292147,731.20048297,0.2024086,722.46337518
C1,1,4116,0.20463,777.351,0.2037346,762.08789,0.20560489,776.91473389,0.20408464,751.01594358,0.20360752,742.88798508
C1,1,4117,0.202807,746.295,0.2018551,730.07062,0.20368459,744.20111084,0.20234438,721.36940934,0.20166307,709.76270949
C1,1,4118,0.197793,660.862,0.197119,649.38593,0.19885297,661.89019775,0.19742481,637.56062849,0.19702535,630.75548151
C1,1,4119,0.190144,530.566,0.1895432,520.32764,0.19113056,530.33251953,0.19008786,512.56999349,0.18965444,505.18642123
C1,1,4120,0.181063,375.855,0.1805798,367.62823,0.18199651,374.72756958,0.181314,363.10058406,0.18097685,357.3569123
C1,1,4121,0.171987,221.246,0.1717507,217.21867,0.17299959,221.45834351,0.1725665,214.07999329,0.1723911,211.09206853
C1,1,4122,0.164593,95.283,0.1644633,93.071922,0.16557173,94.91851044,0.16538531,91.74292514,0.16531797,90.59578957
C1,1,8527,0.190805,378.902,0.2612733,404.88873,0.3131861,1074.01428223,0.18098235,357.45055995,0.18254345,357.28906007
C1,1,8528,1.0,15038.849,1.0,15616.125,1.0,14828.05371094,1.0,15244.04965516,1.0,15179.63892048
C1,1,8529,1.0,16471.549,1.0,16304.104,1.0,16072.40625,1.0,16154.43728221,1.0,16087.86525623
C1,1,8530,1.0,18255.281,1.0,18435.764,1.0,15589.03027344,1.0,18101.62224265,1.0,18243.80587541
C1,1,8531,0.494239,5515.979,0.5073586,5909.0225,0.6081759,7450.16992188,0.49111328,5456.29337742,0.5012742,5627.0508473
C1,1,8532,0.465871,4931.126,0.4825364,5481.5903,0.4855832,5462.48876953,0.46575925,5026.28080685,0.46406416,4995.76238248
C1,1,8533,0.3422,2977.13,0.3314686,2918.4131,0.3458641,2986.62329102,0.33822577,2868.07415131,0.33564089,2825.55080389
C1,1,8534,0.417818,3942.266,0.4065625,4157.4512,0.4248067,4471.74072266,0.41653971,4115.72690856,0.41191385,4044.25303122
C1,1,8535,0.314206,2353.499,0.3103034,2577.5718,0.3183956,2698.38061523,0.302248,2345.70866584,0.31707999,2438.04122653
C1,1,8536,0.181312,380.1,0.1809934,374.67514,0.18249454,383.21118164,0.18139384,364.46068134,0.1809975,357.70876812
C1,2,1902,0.169465,178.286,0.169574,180.13684,0.17478558,200.69293213,0.17012863,172.54913365,0.1695004,161.84674051
C1,2,1903,0.181558,384.293,0.1805012,366.28955,0.18388452,374.11264038,0.18131687,363.14943185,0.18091918,356.37437897
