cohort,case,method,n,threshold,TP,TN,FP,FN,recall,precision,F2_reported
Annual two-view,C1,EIGCM (MF1),8786,0.38,1725,7001,32,28,0.9840273816314888,0.9817871371656233,0.9835785152240848
Annual two-view,C1,Jones dcglare,8786,0.38,1718,6805,228,35,0.980034227039361,0.8828365878725591,0.9589194016521546
Annual two-view,C1,Raytraverse Balanced,8786,0.38,1659,6977,56,94,0.9463776383342841,0.9673469387755103,0.9504984530766586
Annual two-view,C1,Raytraverse High,8786,0.38,1715,6965,68,38,0.9783228750713063,0.9618620302860348,0.9749857873791926
Annual two-view,C2,EIGCM (MF1),8769,0.38,3284,5382,35,68,0.9797136038186157,0.9894546550165713,0.9816464398876068
Annual two-view,C2,Jones dcglare,8769,0.38,3125,5403,14,227,0.9322792362768496,0.9955399808856323,0.9442799298966581
Annual two-view,C2,Raytraverse Balanced,8769,0.38,3227,5305,112,125,0.962708830548926,0.9664570230607966,0.9634561413984594
Annual two-view,C3,EIGCM (MF1),8786,0.38,273,8500,13,0,1.0,0.9545454545454546,0.9905660377358492
Annual two-view,C3,Jones dcglare,8786,0.38,0,8513,0,273,0.0,0.0,0.0
Annual two-view,C3,Raytraverse Balanced,8786,0.38,266,8500,13,7,0.9743589743589743,0.953405017921147,0.9700948212983225
Annual two-view,C3,Raytraverse High,8786,0.38,267,8500,13,6,0.978021978021978,0.9535714285714286,0.9730320699708456
Annual two-view,C4,EIGCM (MF1),8786,0.38,1709,6998,26,53,0.9699205448354143,0.985014409221902,0.9729021974268475
Annual two-view,C4,Jones dcglare,8786,0.38,1717,6850,174,45,0.9744608399545971,0.9079851930195664,0.9603982548383488
Annual two-view,C4,Raytraverse Balanced,8786,0.38,1697,6888,136,65,0.9631101021566402,0.9258046917621385,0.955410426753744
Annual two-view,C4,Raytraverse High,8786,0.38,1707,6966,58,55,0.9687854710556186,0.9671388101983003,0.9684556904572789
520-view validation,C1,EIGCM (MF1),18720,0.38,2353,16102,46,219,0.9148522550544324,0.9808253438932888,0.9273271853077956
520-view validation,C1,Jones dcglare,18720,0.38,2373,15913,235,199,0.9226283048211508,0.90989263803681,0.920052729528536
520-view validation,C1,Raytraverse Balanced,18720,0.38,2110,15895,253,462,0.8203732503888025,0.8929327126534067,0.8339261718441231
520-view validation,C1,Raytraverse High,18720,0.38,2171,15864,284,401,0.8440902021772939,0.8843177189409369,0.8518402260064349
520-view validation,C2,EIGCM (MF1),18720,0.38,4391,14081,19,229,0.9504329004329004,0.9956916099773244,0.9591524683267804
520-view validation,C2,Jones dcglare,18720,0.38,4318,14049,51,302,0.9346320346320346,0.9883268482490272,0.9448991203116108
520-view validation,C2,Raytraverse Balanced,18720,0.38,3877,13976,124,743,0.8391774891774891,0.9690077480629844,0.8622837062408254
520-view validation,C3,EIGCM (MF1),18720,0.38,736,17977,5,2,0.997289972899729,0.9932523616734144,0.9964798266991606
520-view validation,C3,Jones dcglare,18720,0.38,0,17982,0,738,0.0,0.0,0.0
520-view validation,C3,Raytraverse Balanced,18720,0.38,582,17844,138,156,0.7886178861788617,0.8083333333333333,0.792483660130719
520-view validation,C3,Raytraverse High,18720,0.38,593,17845,137,145,0.8035230352303523,0.8123287671232877,0.805268875611081
520-view validation,C4,EIGCM (MF1),18720,0.38,2231,16321,68,100,0.9570999570999572,0.9704219225750326,0.9597350081734493
520-view validation,C4,Jones dcglare,18720,0.38,2189,16133,256,142,0.939081939081939,0.8952965235173824,0.9299855552723256
520-view validation,C4,Raytraverse Balanced,18720,0.38,2014,16094,295,317,0.864006864006864,0.8722390645300996,0.8656408493080031
520-view validation,C4,Raytraverse High,18720,0.38,2034,16076,313,297,0.8725868725868726,0.8666382616105667,0.8713906263387885
