case,view_id,method,n,RMSE
C1,1,EIGCM (MF1),36,0.013470626339991274
C1,1,Jones dcglare,36,0.030105757101863195
C1,1,Raytraverse Balanced,36,0.0032672961928196676
C1,1,Raytraverse High,36,0.00354015901053462
C1,2,EIGCM (MF1),36,0.013131325176674117
C1,2,Jones dcglare,36,0.060753197083573456
C1,2,Raytraverse Balanced,36,0.0598340320228495
C1,2,Raytraverse High,36,0.058546737113970376
C1,3,EIGCM (MF1),36,0.007743027441027189
C1,3,Jones dcglare,36,0.0061965601080731835
C1,3,Raytraverse Balanced,36,0.004452840813104906
C1,3,Raytraverse High,36,0.004355268752640942
C1,4,EIGCM (MF1),36,0.00935431779191952
C1,4,Jones dcglare,36,0.006597777291831992
C1,4,Raytraverse Balanced,36,0.011400140574534718
C1,4,Raytraverse High,36,0.007066229029202908
C1,5,EIGCM (MF1),36,0.006714565330558134
C1,5,Jones dcglare,36,0.004260614828409609
C1,5,Raytraverse Balanced,36,0.012418206149596888
C1,5,Raytraverse High,36,0.006686898623534506
C1,6,EIGCM (MF1),36,0.009044688141558864
C1,6,Jones dcglare,36,0.07086503362613021
C1,6,Raytraverse Balanced,36,0.01889543804633969
C1,6,Raytraverse High,36,0.018483959572251654
C1,7,EIGCM (MF1),36,0.008688118074656137
C1,7,Jones dcglare,36,0.06165184517673995
C1,7,Raytraverse Balanced,36,0.0049323903217963205
C1,7,Raytraverse High,36,0.004356762657126656
C1,8,EIGCM (MF1),36,0.014850260882828141
C1,8,Jones dcglare,36,0.054820084030144094
C1,8,Raytraverse Balanced,36,0.004774840939831285
C1,8,Raytraverse High,36,0.005631678279346077
C1,9,EIGCM (MF1),36,0.01697722779564667
C1,9,Jones dcglare,36,0.04247948751511477
C1,9,Raytraverse Balanced,36,0.07485390663505116
C1,9,Raytraverse High,36,0.07645352047603406
C1,10,EIGCM (MF1),36,0.01348002637207897
C1,10,Jones dcglare,36,0.05695773104837971
C1,10,Raytraverse Balanced,36,0.07049726438856754
C1,10,Raytraverse High,36,0.06842528380443673
C1,11,EIGCM (MF1),36,0.006582560483222146
C1,11,Jones dcglare,36,0.006111991994508963
C1,11,Raytraverse Balanced,36,0.029630198883018353
C1,11,Raytraverse High,36,0.02997333050600168
C1,12,EIGCM (MF1),36,0.009658897103160605
C1,12,Jones dcglare,36,0.0052018527416606295
C1,12,Raytraverse Balanced,36,0.04249108531933479
C1,12,Raytraverse High,36,0.044830670878481235
C1,13,EIGCM (MF1),36,0.005820495588030096
C1,13,Jones dcglare,36,0.038281283742625016
C1,13,Raytraverse Balanced,36,0.1448752701323445
C1,13,Raytraverse High,36,0.14101145797909304
C1,14,EIGCM (MF1),36,0.010932699627595294
C1,14,Jones dcglare,36,0.06354268105777075
C1,14,Raytraverse Balanced,36,0.21060574619951827
C1,14,Raytraverse High,36,0.2026238703467883
C1,15,EIGCM (MF1),36,0.006467973780803894
C1,15,Jones dcglare,36,0.034328279851960054
C1,15,Raytraverse Balanced,36,0.20220152159827853
C1,15,Raytraverse High,36,0.19913362029746967
C1,16,EIGCM (MF1),36,0.01288078883486308
C1,16,Jones dcglare,36,0.03129726502791555
C1,16,Raytraverse Balanced,36,0.15561515023404227
C1,16,Raytraverse High,36,0.15502914994769104
C1,17,EIGCM (MF1),36,0.020113147759999075
C1,17,Jones dcglare,36,0.08925231567129634
C1,17,Raytraverse Balanced,36,0.058749379594007306
C1,17,Raytraverse High,36,0.05874125189840192
C1,18,EIGCM (MF1),36,0.021617261245498034
C1,18,Jones dcglare,36,0.0911740476313567
C1,18,Raytraverse Balanced,36,0.08597955125967109
C1,18,Raytraverse High,36,0.08494641838642125
C1,19,EIGCM (MF1),36,0.009856552467436747
C1,19,Jones dcglare,36,0.005641076926339556
C1,19,Raytraverse Balanced,36,0.005491442662688163
C1,19,Raytraverse High,36,0.0037754209350327186
C1,20,EIGCM (MF1),36,0.010072760748534741
C1,20,Jones dcglare,36,0.03824354423208862
C1,20,Raytraverse Balanced,36,0.013009465782629735
C1,20,Raytraverse High,36,0.010341923665241951
C1,21,EIGCM (MF1),36,0.006661955231699368
C1,21,Jones dcglare,36,0.013610849833366905
C1,21,Raytraverse Balanced,36,0.007025456215704463
C1,21,Raytraverse High,36,0.0069112598956254405
C1,22,EIGCM (MF1),36,0.003974609631425736
C1,22,Jones dcglare,36,0.04322374454744825
C1,22,Raytraverse Balanced,36,0.009824051171301341
C1,22,Raytraverse High,36,0.006801990638043445
C1,23,EIGCM (MF1),36,0.006680548771474953
C1,23,Jones dcglare,36,0.024068287172810978
C1,23,Raytraverse Balanced,36,0.026307285376643393
C1,23,Raytraverse High,36,0.02471126828663214
