case,method,viewpoints,minimum,median,P95_linear,P95_whisker,maximum
C1,EIGCM (MF1),520,0.002252898827930116,0.01072925280088486,0.032513790551931196,0.03242237858160882,0.1189579293740777
C1,Jones dcglare,520,0.002697662997554034,0.04373831071927191,0.11386626884869579,0.11382327777765792,0.16978908385090993
C1,Raytraverse Balanced,520,0.001893058900723467,0.039414215142576245,0.16070572062391486,0.16065511363554652,0.27169707738778676
C1,Raytraverse High,520,0.0015254035162430462,0.039586225158625296,0.16732526325198388,0.1672929717090354,0.27163806918623906
C2,EIGCM (MF1),520,0.002518975855878729,0.012140401847356791,0.019896558924222103,0.019895480096222024,0.10806039699718728
C2,Jones dcglare,520,0.0019231916249666003,0.013653941768777222,0.027899807680421537,0.027891111635417912,0.11325777438268754
C2,Raytraverse Balanced,520,0.010119185502849817,0.029315546841150723,0.12122219255578812,0.12113673899295298,0.2363776325027231
C3,EIGCM (MF1),520,0.0001288274502753357,0.0014556721076693449,0.01088300846199588,0.010872647559255188,0.028616591101744533
C3,Jones dcglare,520,0.0009074931440451164,0.04225604458924158,0.09855583709242677,0.09853218351082307,0.1297068330810081
C3,Raytraverse Balanced,520,0.0008415857720267001,0.005352932972880991,0.09011377131352381,0.09009493892147036,0.11459625934911619
C3,Raytraverse High,520,0.0008593748192921015,0.005632663181250261,0.08811643173522282,0.08809766348667979,0.11437787698763532
C4,EIGCM (MF1),520,0.0015963478784052282,0.009834299369925002,0.027788339501187722,0.02774635948537513,0.06226999429160843
C4,Jones dcglare,520,0.003411516340997311,0.040503882794031276,0.10849488900339682,0.10845491271696005,0.15332672240276868
C4,Raytraverse Balanced,520,0.0024972014614775377,0.021719979124703324,0.15700281666886404,0.156981020633532,0.2722924493064641
C4,Raytraverse High,520,0.0029069801779352295,0.02376476710737229,0.15606029867504834,0.15604189861065382,0.27272398526713965
