viewpoint,time_index,reference_Ev_lx,reference_DGP,EIGCM_Ev_lx,EIGCM_DGP,Jones_dcglare_Ev_lx,Jones_dcglare_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_Balanced_DGP
Viewpoint 1,7,151.632631,0.167901,162.86296,0.1685601,167.36473,0.1698244149074056,137.9088707846526,0.1680952507150591
Viewpoint 1,8,1022.979278,0.225155,1033.48,0.2205967,1045.948,0.2219237,1018.6719693899696,0.2204073790100157
Viewpoint 1,9,3702.588049,0.404968,3847.6787,0.4011293,3883.1519,0.3900448,3159.8677532644747,0.3626951807275614
Viewpoint 1,10,5669.67904,0.508511,5621.0356,0.4960296,5913.9321,0.5098848,4351.880889994163,0.4318252969578864
Viewpoint 1,11,6827.892698,0.595268,7291.1577,0.5949932,7559.4644,0.6076771,6160.70869742821,0.5398480899711089
Viewpoint 1,12,12593.602592,1.0,9768.6133,0.8848624,12703.309,0.9204369,7711.508756520568,0.6341408528381296
Viewpoint 1,13,4652.038908,0.456709,4684.6099,0.4504842,4728.8042,0.4488084,4568.225650826947,0.452707337955393
Viewpoint 1,14,3997.130239,0.419697,4040.252,0.4139397,4073.0886,0.4120344,3964.5951172617774,0.4193924902457712
Viewpoint 1,15,31798.76558,1.0,39842.445,1.0,24416.666,1.0,9484.011732371211,0.8434286238487266
Viewpoint 1,16,1872.70673,0.300003,1983.7664,0.2939639,1991.5582,0.2909501,1926.248859613342,0.3089679975863771
Viewpoint 1,31,201.406057,0.170837,219.64769,0.1718933,225.8768,0.1732589322320673,177.65336236294988,0.1704282523707051
Viewpoint 1,32,2579.387175,0.408605,2814.0242,0.3627368,2544.6853,0.3100687,2198.6878447765457,0.3756355710664798
Viewpoint 1,33,3700.298218,0.402784,3788.4639,0.4013514,3934.676,0.3927835,3111.4039181648377,0.3597282064555492
Viewpoint 1,34,5622.313384,0.5074,5818.2935,0.5070941,6128.1074,0.5220957,4306.198230160961,0.4291777139017614
Viewpoint 1,35,4292.087501,0.433426,4296.4341,0.4256289,4348.0386,0.4242555,4234.041784588499,0.4308045684816474
Viewpoint 1,36,13020.673634,1.0,10318.887,0.9258499,13478.463,0.9671682,7683.179263491655,0.6329865022044698
Viewpoint 1,37,28647.077514,1.0,25673.607,1.0,28817.613,1.0,9922.649595800773,0.7653176491919956
Viewpoint 1,38,34660.988503,1.0,44779.043,1.0,34934.027,1.0,42695.76427998897,1.0
Viewpoint 1,39,3025.071277,0.364464,3085.2192,0.35909,3107.4919,0.3572619,2980.472308968623,0.3638647833859493
Viewpoint 1,40,775.055573,0.208732,797.04388,0.2057865,804.12891,0.2072023469983422,771.43536349292,0.2052832558370344
Viewpoint 1,55,282.213283,0.175612,310.78317,0.177243,319.6011,0.1787606006293966,250.2200374548566,0.1746879161986
Viewpoint 1,56,1167.228063,0.239992,1174.3799,0.2318476,1188.7837,0.2315986,1155.771721893444,0.2381782136901698
Viewpoint 1,57,5184.359851,0.493769,4956.543,0.4723909,5170.001,0.4657451,4061.466052071244,0.4160940626933387
Viewpoint 1,58,3514.235133,0.387337,3530.5352,0.3791258,3575.4307,0.3783013,3473.57114867213,0.3857656932093807
Viewpoint 1,59,9564.558479,0.761654,9754.1963,0.7385334,10133.866,0.7581355,7946.310135016586,0.6452563670914648
Viewpoint 1,60,5316.380003,0.494539,5337.0938,0.4877864,5394.1479,0.4865912,5208.575425124321,0.4886306082033768
Viewpoint 1,61,5530.264482,0.508461,5570.9702,0.5033867,5621.2563,0.50162,5412.8851638688175,0.5022081332226291
Viewpoint 1,62,38443.456562,1.0,22078.771,1.0,38496.098,1.0,46947.41144841855,1.0
Viewpoint 1,63,3283.425377,0.379821,3357.0615,0.3757067,3380.0723,0.3739142,3232.4401365303565,0.3790933798138628
Viewpoint 1,64,1322.390165,0.266666,1370.9452,0.253533,1380.1052,0.2490035,1315.8975612357451,0.2658006561772005
Viewpoint 1,79,119.69818,0.166026,133.84238,0.1668565,138.04839,0.1681034964026111,101.3972419590826,0.1659520181029981
Viewpoint 1,80,2384.99178,0.36284,2573.4438,0.3686372,2340.9534,0.2975687,1983.8480177506533,0.3733237827193431
Viewpoint 1,81,2687.758928,0.346291,2884.2466,0.3490967,2929.8928,0.3334278,2254.679400872307,0.3091457876945942
Viewpoint 1,82,6586.828581,0.586004,6644.5317,0.5543181,7078.9907,0.576581,4079.5185126511096,0.4166155120594635
Viewpoint 1,83,5183.302691,0.490474,5449.4121,0.4856054,5677.8691,0.4962219,4369.978739757193,0.4361704639608184
Viewpoint 1,84,14987.618154,1.0,10289.726,0.9540927,15280.655,1.0,7063.040546557378,0.6002702567912428
Viewpoint 1,85,27949.599337,1.0,15258.387,1.0,27753.025,1.0,8804.206670377089,0.7001135400328072
Viewpoint 1,86,37539.591603,1.0,27642.18,1.0,37378.988,1.0,46527.78512918038,1.0
Viewpoint 1,87,34172.459507,1.0,46643.375,1.0,26049.318,1.0,9100.16130481478,0.8313308555781629
Viewpoint 1,88,334.000834,0.178606,337.84348,0.1788314,341.56799,0.1800499778147309,331.68313360782565,0.1794697999427793
Viewpoint 1,103,184.688487,0.169841,198.86296,0.1706733,203.99512,0.1719744202940882,167.4706067038276,0.1698305246135147
Viewpoint 1,104,2039.535604,0.318363,2110.4778,0.3160342,2029.3586,0.2801329,1812.5917986977176,0.3272333331763558
Viewpoint 1,105,4549.828236,0.453051,4421.0562,0.4431642,4463.2017,0.4234204,3366.7708243719035,0.3759771399814305
Viewpoint 1,106,6327.50078,0.563143,6470.2505,0.5446451,6883.394,0.5658002,4427.624314136836,0.4364678167830994
Viewpoint 1,107,7307.465581,0.625178,7300.6357,0.5951785,7566.4365,0.6078686,6104.356391243036,0.5365810408274017
Viewpoint 1,108,4665.150021,0.456323,4672.8784,0.4486083,4723.2427,0.4471326,4568.784879623961,0.4514696944784898
Viewpoint 1,109,22365.116584,1.0,17011.383,1.0,22316.486,1.0,9443.620153798269,0.7368628273146014
Viewpoint 1,110,31492.983113,1.0,20562.938,1.0,31829.387,1.0,38881.87172515433,1.0
Viewpoint 1,111,34690.854366,1.0,41693.918,1.0,26987.709,1.0,10222.788546972632,0.8878415198686749
Viewpoint 1,112,1333.868774,0.267212,1373.5585,0.2534204,1382.9784,0.2489974,1317.628388913114,0.2657627280512068
Viewpoint 1,127,62.674945,0.162679,63.030128,0.1626999,63.748535,0.163741927841695,62.93311381584248,0.1636941737809899
Viewpoint 1,128,592.287581,0.193767,597.21124,0.1940563,604.1441,0.1954632851323613,590.7567858912691,0.1946774233318175
Viewpoint 1,129,1166.745862,0.241576,1174.5566,0.2309175,1188.2932,0.2315497,1156.269369724335,0.2423604759135415
Viewpoint 1,130,1681.544279,0.281736,1693.4697,0.2669892,1713.2468,0.2650343,1675.3285183557796,0.281437478361745
Viewpoint 1,131,2076.923623,0.305636,2088.4114,0.2933152,2112.532,0.2889643,2066.4865089676623,0.3055462380083421
Viewpoint 1,132,2228.599167,0.314857,2240.9902,0.3025141,2266.2478,0.3000779,2203.8355419292843,0.3139828920229391
Viewpoint 1,133,2114.393389,0.30827,2126.9863,0.2960006,2150.2463,0.2916168,2095.532057114999,0.3077151635227496
