case,view_id,time_index,reference_DGP_raw,dcglare_Ev,reference_DGP,dcglare_DGPs_raw,dcglare_DGPs
C1,1,1902,0.184307,482.0007019,0.184307,0.18829344120153,0.18829344120153
C1,1,1903,0.206429,809.58312988,0.206429,0.207522529723956,0.207522529723956
C1,1,1904,1.0,12535.94140625,1.0,0.895859760546875,0.895859760546875
C1,1,1905,1.0,14078.11328125,1.0,0.986385249609375,0.986385249609375
C1,1,1906,0.362289,3256.46240234,0.362289,0.351154343017358,0.351154343017358
C1,1,1907,0.380625,3570.65161133,0.380625,0.369597249585071,0.369597249585071
C1,1,1908,0.379817,3559.13671875,0.379817,0.368921325390625,0.368921325390625
C1,1,1909,0.360307,3245.30664062,0.360307,0.350499499804394,0.350499499804394
C1,1,1910,0.326759,2704.53198242,0.326759,0.318756027368054,0.318756027368054
C1,1,1911,0.28231,2016.15734863,0.28231,0.278348436364581,0.278348436364581
C1,1,1912,0.234425,1269.10986328,0.234425,0.2344967489745359,0.2344967489745359
C1,1,1913,0.247095,1420.19873047,0.247095,0.243365665478589,0.243365665478589
C1,1,4109,0.159733,12.42028236,0.159733,0.160729070574532,0.160729070574532
C1,1,4110,0.166645,129.87399292,0.166645,0.167623603384404,0.167623603384404
C1,1,4111,0.174858,269.86471558,0.174858,0.175841058804546,0.175841058804546
C1,1,4112,0.183875,422.59466553,0.183875,0.184806306866611,0.184806306866611
C1,1,4113,0.192165,563.89868164,0.192165,0.193100852612268,0.193100852612268
C1,1,4114,0.198976,679.20996094,0.198976,0.199869624707178,0.199869624707178
C1,1,4115,0.203396,755.38793945,0.203396,0.204341272045715,0.204341272045715
C1,1,4116,0.20463,776.91473389,0.20463,0.205604894879343,0.205604894879343
C1,1,4117,0.202807,744.20111084,0.202807,0.203684605206308,0.203684605206308
C1,1,4118,0.197793,661.89019775,0.197793,0.198852954607925,0.198852954607925
C1,1,4119,0.190144,530.33251953,0.190144,0.191130518896411,0.191130518896411
C1,1,4120,0.181063,374.72756958,0.181063,0.181996508334346,0.181996508334346
C1,1,4121,0.171987,221.45834351,0.171987,0.172999604764037,0.172999604764037
C1,1,4122,0.164593,94.91851044,0.164593,0.165571716562828,0.165571716562828
C1,1,8527,0.190805,1074.01428223,0.190805,0.223044638366901,0.223044638366901
C1,1,8528,1.0,14828.05371094,1.0,1.030406752832178,1.0
C1,1,8529,1.0,16072.40625,1.0,1.1034502468749998,1.0
C1,1,8530,1.0,15589.03027344,1.0,1.0750760770509278,1.0
C1,1,8531,0.494239,7450.16992188,0.494239,0.5973249744143561,0.5973249744143561
C1,1,8532,0.465871,5462.48876953,0.465871,0.480648090771411,0.480648090771411
C1,1,8533,0.3422,2986.62329102,0.3422,0.335314787182874,0.335314787182874
C1,1,8534,0.417818,4471.74072266,0.417818,0.422491180420142,0.422491180420142
C1,1,8535,0.314206,2698.38061523,0.314206,0.318394942114001,0.318394942114001
C1,1,8536,0.181312,383.21118164,0.181312,0.182494496362268,0.182494496362268
C1,2,1902,0.169465,200.69293213,0.169465,0.171780675116031,0.171780675116031
C1,2,1903,0.181558,374.11264038,0.181558,0.181960411990306,0.181960411990306
C1,2,1904,0.7312,3968.07080078,0.7312,0.392925756005786,0.392925756005786
C1,2,1905,0.374248,3973.81933594,0.374248,0.393263195019678,0.393263195019678
C1,2,1906,0.251218,1451.07177734,0.251218,0.245177913329858,0.245177913329858
C1,2,1907,0.263164,1645.55163574,0.263164,0.256593881017938,0.256593881017938
C1,2,1908,0.267149,1708.27404785,0.267149,0.2602756866087949,0.2602756866087949
C1,2,1909,0.261781,1625.68322754,0.261781,0.255427605456598,0.255427605456598
C1,2,1910,0.248185,1413.02111816,0.248185,0.242944339635992,0.242944339635992
C1,2,1911,0.227069,1089.36547852,0.227069,0.223945753589124,0.223945753589124
C1,2,1912,0.201951,701.11456299,0.201951,0.201155424847513,0.201155424847513
C1,2,1913,0.208747,814.090271,0.208747,0.2077870989077,0.2077870989077
C1,2,4109,0.159368,6.08261633,0.159368,0.160357049578571,0.160357049578571
C1,2,4110,0.162872,64.04361725,0.162872,0.163759360332575,0.163759360332575
C1,2,4111,0.167051,133.45671082,0.167051,0.167833908925134,0.167833908925134
C1,2,4112,0.171617,208.86190796,0.171617,0.172260193997252,0.172260193997252
C1,2,4113,0.175836,278.01123047,0.175836,0.176319259228589,0.176319259228589
C1,2,4114,0.179224,334.02609253,0.179224,0.179607331631511,0.179607331631511
C1,2,4115,0.181412,371.1368103,0.181412,0.18178573076461,0.18178573076461
C1,2,4116,0.181985,381.92007446,0.181985,0.182418708370802,0.182418708370802
C1,2,4117,0.181122,365.65066528,0.181122,0.181463694051936,0.181463694051936
C1,2,4118,0.178532,324.76419067,0.178532,0.179063657992329,0.179063657992329
C1,2,4119,0.174649,260.01629639,0.174649,0.175262956598093,0.175262956598093
C1,2,4120,0.170128,184.02633667,0.170128,0.170802345962529,0.170802345962529
C1,2,4121,0.165587,109.39125824,0.165587,0.166421266858688,0.166421266858688
C1,2,4122,0.161872,47.57558441,0.161872,0.162792686804867,0.162792686804867
C1,2,8527,0.170976,342.91445923,0.170976,0.180129078756801,0.180129078756801
C1,2,8528,0.607553,3322.85693359,0.607553,0.3550517020017329,0.3550517020017329
C1,2,8529,0.31428,2800.93969727,0.31428,0.324415160229749,0.324415160229749
C1,2,8530,0.38774,3852.46850586,0.38774,0.386139901293982,0.386139901293982
C1,2,8531,0.364582,3487.29223633,0.364582,0.364704054272571,0.364704054272571
C1,2,8532,0.357695,3466.81665039,0.357695,0.363502137377893,0.363502137377893
C1,2,8533,0.252775,1519.49841309,0.252775,0.249194556848383,0.249194556848383
C1,2,8534,0.375799,3669.79296875,0.375799,0.3754168472656249,0.3754168472656249
C1,2,8535,0.297551,2408.93115234,0.297551,0.301404258642358,0.301404258642358
